GRIB2
0 3 208  "CNVDMF" "Convective downdraft mass flux" "kg/m2/s"
0 3 209  "CNVDEMF" "Convective detrainment mass flux" "kg/m2/s"
0 3 210  "LMH" "Mass Point Model Surface" "-"
0 3 211  "HGTN" "Geopotential Height (nearest grid point)" "gpm"
0 3 212  "PRESN" "Pressure (nearest grid point)" "Pa"
0 4 0  "NSWRS" "Net Short-Wave Radiation Flux (Surface)" "W/m^2"
0 4 1  "NSWRT" "Net Short-Wave Radiation Flux (Top of Atmosphere)" "W/m^2"
0 4 2  "SWAVR" "Short-Wave Radiation Flux" "W/m^2"
0 4 3  "GRAD" "Global Radiation Flux" "W/m^2"
0 4 4  "BRTMP" "Brightness Temperature" "K"
0 4 5  "LWRAD" "Radiance (with respect to wave number)" "W/m/sr"
0 4 6  "SWRAD" "Radiance (with respect to wavelength)" "W/m^3/sr"
0 4 7  "DSWRF" "Downward Short-Wave Rad. Flux" "W/m^2"
0 4 8  "USWRF" "Upward Short-Wave Rad. Flux" "W/m^2"
0 4 9  "NSWRF" "Net Short Wave Radiation Flux" "W/m^2"
0 4 10  "PHOTAR" "Photosynthetically Active Radiation" "W/m^2"
0 4 11  "NSWRFCS" "Net Short-Wave Radiation Flux" " "
0 4 12  "DWUVR" "Downward UV Radiation" "W/m^2"
0 4 50  "UVIUCS" "UV Index (Under Clear Sky)" "Numeric"
0 4 51  "UVI" "UV Index" "W/m^2"
0 4 192  "DSWRF" "Downward Short-Wave Rad. Flux" "W/m^2"
0 4 193  "USWRF" "Upward Short-Wave Rad. Flux" "W/m^2"
0 4 194  "DUVB" "UV-B downward solar flux" "W/m^2"
0 4 195  "CDUVB" "Clear sky UV-B downward solar flux" "W/m^2"
0 4 196  "CSDSF" "Clear Sky Downward Solar Flux" "W/m^2"
0 4 197  "SWHR" "Solar Radiative Heating Rate" "K/s"
0 4 198  "CSUSF" "Clear Sky Upward Solar Flux" "W/m^2"
0 4 199  "CFNSF" "Cloud Forcing Net Solar Flux" "W/m^2"
0 4 200  "VBDSF" "Visible Beam Downward Solar Flux" "W/m^2"
0 4 201  "VDDSF" "Visible Diffuse Downward Solar Flux" "W/m^2"
0 4 202  "NBDSF" "Near IR Beam Downward Solar Flux" "W/m^2"
0 4 203  "NDDSF" "Near IR Diffuse Downward Solar Flux" "W/m^2"
0 4 204  "DTRF" "Downward Total radiation Flux" "W/m^2"
0 4 205  "UTRF" "Upward Total radiation Flux" "W/m^2"
0 5 0  "NLWRS" "Net Long-Wave Radiation Flux (Surface)" "W/m^2"
0 5 1  "NLWRT" "Net Long-Wave Radiation Flux (Top of Atmosphere)" "W/m^2"
0 5 2  "LWAVR" "Long-Wave Radiation Flux" "W/m^2"
0 5 3  "DLWRF" "Downward Long-Wave Rad. Flux" "W/m^2"
0 5 4  "ULWRF" "Upward Long-Wave Rad. Flux" "W/m^2"
0 5 5  "NLWRF" "Net Long-Wave Radiation Flux" "W/m^2"
0 5 6  "NLWRCS" "Net Long-Wave Radiation Flux" " "
0 5 192  "DLWRF" "Downward Long-Wave Rad. Flux" "W/m^2"
0 5 193  "ULWRF" "Upward Long-Wave Rad. Flux" "W/m^2"
0 5 194  "LWHR" "Long-Wave Radiative Heating Rate" "K/s"
0 5 195  "CSULF" "Clear Sky Upward Long Wave Flux" "W/m^2"
0 5 196  "CSDLF" "Clear Sky Downward Long Wave Flux" "W/m^2"
0 5 197  "CFNLF" "Cloud Forcing Net Long Wave Flux" "W/m^2"
0 6 0  "CICE" "Cloud Ice" "kg/m^2"
0 6 1  "TCDC" "Total Cloud Cover" "%"
0 6 2  "CDCON" "Convective Cloud Cover" "%"
0 6 3  "LCDC" "Low Cloud Cover" "%"
0 6 4  "MCDC" "Medium Cloud Cover" "%"
0 6 5  "HCDC" "High Cloud Cover" "%"
0 6 6  "CWAT" "Cloud Water" "kg/m^2"
0 6 7  "CDCA" "Cloud Amount" "%"
0 6 8  "CDCT" "Cloud Type" "-"
0 6 9  "TMAXT" "Thunderstorm Maximum Tops" "m"
0 6 10  "THUNC" "Thunderstorm Coverage" "-"
0 6 11  "CDCB" "Cloud Base" "m"
0 6 12  "CDCT" "Cloud Top" "m"
0 6 13  "CEIL" "Ceiling" "m"
0 6 14  "CDLYR" "Non-Convective Cloud Cover" "%"
0 6 15  "CWORK" "Cloud Work Function" "J/kg"
0 6 16  "CUEFI" "Convective Cloud Efficiency" "Proportion"
0 6 17  "TCOND" "Total Condensate" "kg/kg"
0 6 18  "TCOLW" "Total Column-Integrated Cloud Water" "kg/m^2"
0 6 19  "TCOLI" "Total Column-Integrated Cloud Ice" "kg/m^2"
0 6 20  "TCOLC" "Total Column-Integrated Condensate" "kg/m^2"
0 6 21  "FICE" "Ice fraction of total condensate" "Proportion"
0 6 22  "CDCC" "Cloud Cover" "%"
0 6 23  "CDCIMR" "Cloud Ice Mixing Ratio" "kg/kg"
0 6 24  "SUNS" "Sunshine" "Numeric"
0 6 25  "CBHE" "Horizontal Extent of Cumulonimbus (CB)" "%"
0 6 33  "SUNSD" "Sunshine Duration" "s"
0 6 192  "CDLYR" "Non-Convective Cloud Cover" "%"
0 6 193  "CWORK" "Cloud Work Function" "J/kg"
0 6 194  "CUEFI" "Convective Cloud Efficiency" "non-dim"
0 6 195  "TCOND" "Total Condensate" "kg/kg"
0 6 196  "TCOLW" "Total Column-Integrated Cloud Water" "kg/m^2"
0 6 197  "TCOLI" "Total Column-Integrated Cloud Ice" "kg/m^2"
0 6 198  "TCOLC" "Total Column-Integrated Condensate" "kg/m^2"
0 6 199  "FICE" "Ice fraction of total condensate" "non-dim"
0 6 200  "MFLUX" "Convective Cloud Mass Flux" "Pa/s"
0 6 201  "SUNSD" "Sunshine Duration" "s"
0 7 0  "PLI" "Parcel Lifted Index (to 500 mb)" "K"
0 7 1  "BLI" "Best Lifted Index (to 500 mb)" "K"
0 7 2  "KX" "K Index" "K"
0 7 3  "KOX" "KO Index" "K"
0 7 4  "TOTALX" "Total Totals Index" "K"
0 7 5  "SX" "Sweat Index" "Numeric"
0 7 6  "CAPE" "Convective Available Potential Energy" "J/kg"
0 7 7  "CIN" "Convective Inhibition" "J/kg"
0 7 8  "HLCY" "Storm Relative Helicity" "m^2/s^2"
0 7 9  "EHLX" "Energy Helicity Index" "Numeric"
0 7 10  "LFTX" "Surface Lifted Index" "K"
0 7 11  "4LFTX" "Best (4 layer) Lifted Index" "K"
0 7 12  "RI" "Richardson Number" "Numeric"
0 7 192  "LFTX" "Surface Lifted Index" "K"
0 7 193  "4LFTX" "Best (4 layer) Lifted Index" "K"
0 7 194  "RI" "Richardson Number" "Numeric"
0 7 195  "CWDI" "Convective Weather Detection Index" "-"
0 7 196  "UVI" "Ultra Violet Index" "W/m^2"
0 7 197  "UPHL" "Updraft Helicity" "m^2/s^2"
0 7 198  "LAI" "Leaf Area Index" "-"
0 7 199  "MXUPHL" "Hourly Maximum of Updraft Helicity over layer 2km to 5 km AGL" "m2/s2"
0 13 0  "AEROT" "Aerosol Type" "-"
0 13 192  "PMTC" "Particulate matter (coarse)" "10^-6g/m^3"
0 13 193  "PMTF" "Particulate matter (fine)" "10^-6g/m^3"
0 13 194  "LPMTF" "Particulate matter (fine)" "log10(10^-6g/m^3)"
0 13 195  "LIPMF" "Integrated column particulate matter (fine)" "log10(10^-6g/m^3)"
0 14 0  "TOZNE" "Total Ozone" "Dobson"
0 14 1  "O3MR" "Ozone Mixing Ratio" "kg/kg"
0 14 2  "TCIOZ" "Total Column Integrated Ozone" "Dobson"
0 14 192  "O3MR" "Ozone Mixing Ratio" "kg/kg"
0 14 193  "OZCON" "Ozone Concentration (PPB)" "ppb"
0 14 194  "OZCAT" "Categorical Ozone Concentration" "non-dim"
0 14 195  "VDFOZ" "Ozone Vertical Diffusion" "kg/kg/s"
0 14 196  "POZ" "Ozone Production" "kg/kg/s"
0 14 197  "TOZ" "Ozone Tendency" "kg/kg/s"
0 14 198  "POZT" "Ozone Production from Temperature Term" "kg/kg/s"
0 14 199  "POZO" "Ozone Production from Column Ozone Term" "kg/kg/s"
0 14 200  "OZMAX1" "Ozone Daily Max from 1-hour Average" "ppbV"
0 14 201  "OZMAX8" "Ozone Daily Max from 8-hour Average" "ppbV"
0 14 202  "PDMAX1" "PM 2.5 Daily Max from 1-hour Average" "&#956g/m3"
0 14 203  "PDMAX24" "PM 2.5 Daily Max from 24-hour Average" "&#956g/m3"
0 15 0  "BSWID" "Base Spectrum Width" "m/s"
0 15 1  "BREF" "Base Reflectivity" "dB"
0 15 2  "BRVEL" "Base Radial Velocity" "m/s"
0 15 3  "VERIL" "Vertically Integrated Liquid (VIL)" "kg/m"
0 15 4  "LMAXBR" "Layer Maximum Base Reflectivity" "dB"
